dataset	n_rows	n_columns
ds003814	11	3
ds004868	11	4
ds003354	11	4
ds005165	11	3
ds004770	11	4
ds004730	11	4
ds003928	11	3
ds005085	11	4
ds002336	11	3
ds000224	11	5
ds004219	11	4
ds007006	11	3
ds004959	11	2
ds004507	11	5
ds004539	11	4
ds006812	11	3
ds004952	11	5
ds001942	11	4
ds006654	11	4
ds004797	11	4
ds004142	11	4
ds004928	11	3
ds007406	11	1
ds003192	11	4
ds000232	11	3
ds003195	11	2
ds002724	11	3
ds003810	11	4
ds006512	11	4
ds000114	11	2
ds005963	11	6
ds004642	11	4
ds003382	11	34
ds004703	11	4
ds006437	10	3
ds005533	10	4
ds005574	10	2
ds004840	10	16
ds004443	10	3
ds003929	10	3
ds000231	10	4
ds004107	10	4
ds004598	10	2
ds003020	10	3
ds003374	10	6
ds004477	10	6
ds004101	10	3
ds005664	10	5
ds005558	10	4
ds004913	10	4
ds004091	9	3
ds005603	9	2
ds005250	9	3
ds004669	9	4
ds002723	9	3
ds004696	9	6
ds003972	9	3
ds004662	9	5
ds005194	9	4
ds004473	9	4
ds003770	9	61
ds004620	9	4
ds005931	9	4
ds004815	9	3
ds000017	9	3
ds007095	9	3
ds001652	9	4
ds005691	9	3
ds004517	8	4
ds004859	8	4
ds005307	8	6
ds004819	8	8
ds001547	8	3
ds006065	8	1
ds006917	8	3
ds005090	8	7
ds004022	8	5
ds004370	8	4
ds002551	8	6
ds005590	8	4
ds005619	8	4
ds005929	8	1
ds006798	7	4
ds004835	7	3
ds005903	7	7
ds002232	7	4
ds005531	7	3
ds005503	7	3
ds003848	7	4
ds004745	7	1
ds004478	7	4
ds006971	7	4
ds003844	7	4
ds000247	7	4
ds003990	7	2
ds004906	7	7
ds007122	7	3
ds004814	7	1
ds001399	7	4
ds006126	7	4
ds002848	7	3
ds005170	6	3
ds000234	6	3
ds004866	6	15
ds001705	6	4
ds001553	6	4
ds004943	6	4
ds002278	6	3
ds007347	6	1
ds006035	6	6
ds004213	6	3
ds005138	6	5
ds003043	6	4
ds004787	6	3
ds004457	6	3
ds005047	6	3
ds004212	6	2
ds005454	6	4
ds001499	5	4
ds003427	5	1
ds004196	5	3
ds001761	5	3
ds002750	5	3
ds004542	5	7
ds002936	5	4
ds003777	5	2
ds002016	5	1
ds004738	5	4
ds006206	5	4
ds002013	5	5
ds007418	5	1
ds005239	5	4
ds005699	5	4
ds004590	5	5
ds003011	5	12
ds000235	5	3
ds006647	5	2
ds002684	5	4
ds004283	5	4
ds004977	5	3
ds006491	5	2
ds006707	5	4
ds001450	5	3
ds006033	4	5
ds000246	4	4
ds004624	4	2
ds004510	4	3
ds006815	4	7
ds003659	4	5
ds002743	4	3
ds006947	4	4
ds003082	4	4
ds005717	4	3
ds004993	4	4
ds000239	4	3
ds005672	4	3
ds004192	4	4
ds001555	4	4
ds006630	3	3
ds006373	3	4
ds004271	3	3
ds005670	3	4
ds005953	3	1
ds001379	3	3
ds004280	3	3
ds006944	3	9
ds004339	3	2
ds005258	3	4
ds004564	3	1
ds004229	3	4
ds004560	3	2
ds003216	3	4
ds004040	3	1
ds002885	3	1
ds006317	3	6
ds002578	3	4
ds001420	3	5
ds005521	3	3
ds004552	3	1
ds007175	3	1
ds004720	3	4
ds000248	3	4
ds002014	3	1
ds005927	3	5
ds004850	2	1
ds006123	2	2
ds007328	2	3
ds007338	2	6
ds003805	2	4
ds004854	2	1
ds004852	2	1
ds005737	2	4
ds004784	2	4
ds003104	2	4
ds005069	2	3
ds006207	2	3
ds004776	2	4
ds005872	2	6
ds005134	2	4
ds004855	2	1
ds005365	2	4
ds004346	2	6
ds001021	2	4
ds001728	2	2
ds006138	2	3
ds006592	2	4
ds003708	2	1
ds007392	2	1
ds000031	2	4
ds004650	2	2
ds004849	2	1
ds002737	2	3
ds005625	2	3
ds005072	2	3
ds001419	2	3
ds004498	2	3
ds006392	2	1
ds004853	2	1
ds004639	2	1
ds001566	2	3
ds001421	2	3
ds005079	2	1
ds004945	2	1
ds005412	2	4
ds003548	2	3
ds006159	1	1
ds006071	1	1
ds005233	0	0
ds006209	0	0
ds004075	0	0
ds002001	0	0
ds006045	0	0
ds004102	0	0
ds004946	0	0
ds004715	0	0
ds006601	0	0
ds001946	0	0
ds003993	0	0
ds005422	0	0
ds000051	0	0
ds003345	0	0
ds003959	0	0
ds003715	0	0
ds004007	0	0
ds005427	0	0
ds006735	0	0
ds003417	0	0
ds002155	0	0
ds005413	0	0
ds003836	0	0
ds005576	0	0
ds004465	0	0
ds001978	0	0
ds003455	0	0
ds004402	0	0
ds003441	0	0
ds002374	0	0
ds003096	0	0
ds005933	0	0
ds002979	0	0
ds005279	0	0
ds001612	0	0
ds005926	0	0
ds007195	0	0
ds003849	0	0
ds005731	0	0
ds002179	0	0
ds004323	0	0
ds003850	0	0
ds003059	0	0
ds001037	0	0
ds006871	0	0
ds002718	0	0
ds005850	0	0
ds003646	0	0
ds003626	0	0
ds002596	0	0
ds006844	0	0
ds003816	0	0
ds004038	0	0
ds003089	0	0
ds006486	0	0
ds004067	0	0
ds001912	0	0
ds006021	0	0
ds006779	0	0
ds001926	0	0
ds003430	0	0
ds001762	0	0
ds003367	0	0
ds006935	0	0
ds002316	0	0
ds004670	0	0
ds007091	0	0
ds002144	0	0
ds006401	0	0
ds005573	0	0
ds001107	0	0
ds002295	0	0
ds003871	0	0
ds006623	0	0
ds006676	0	0
ds000164	0	0
ds006193	0	0
ds005658	0	0
ds005329	0	0
ds005304	0	0
ds005137	0	0
ds003927	0	0
ds004187	0	0
ds005604	0	0
ds000204	0	0
ds003676	0	0
ds005630	0	0
ds006145	0	0
ds004125	0	0
ds004252	0	0
ds005191	0	0
ds006407	0	0
ds005597	0	0
ds002868	0	0
ds001600	0	0
ds003052	0	0
ds002738	0	0
ds004767	0	0
ds005357	0	0
ds002739	0	0
ds004520	0	0
ds003438	0	0
ds005021	0	0
ds003094	0	0
ds000052	0	0
ds001595	0	0
ds007315	0	0
ds006821	0	0
ds004144	0	0
ds003989	0	0
ds005600	0	0
ds004663	0	0
ds002372	0	0
ds006184	0	0
ds005639	0	0
ds002726	0	0
ds006394	0	0
ds005450	0	0
ds004228	0	0
ds005178	0	0
ds004398	0	0
ds003642	0	0
ds004286	0	0
ds002358	0	0
ds002218	0	0
ds001521	0	0
ds001832	0	0
ds006692	0	0
ds001875	0	0
ds003716	0	0
ds003892	0	0
ds005602	0	0
ds004837	0	0
ds000216	0	0
ds003148	0	0
ds005093	0	0
ds005028	0	0
ds006128	0	0
ds002293	0	0
ds003484	0	0
ds003661	0	0
ds003090	0	0
ds002153	0	0
ds003768	0	0
ds002207	0	0
ds007028	0	0
ds006143	0	0
ds005262	0	0
ds005118	0	0
ds003463	0	0
ds002320	0	0
ds002294	0	0
ds001591	0	0
ds001634	0	0
ds006480	0	0
ds003774	0	0
ds001751	0	0
ds001339	0	0
ds002614	0	0
ds003145	0	0
ds003440	0	0
ds001293	0	0
ds003085	0	0
ds006188	0	0
ds003444	0	0
ds006945	0	0
ds001715	0	0
ds002870	0	0
ds000107	0	0
ds001907	0	0
ds001497	0	0
ds001745	0	0
ds003540	0	0
ds002989	0	0
ds003442	0	0
ds001849	0	0
ds002156	0	0
ds001984	0	0
ds006636	0	0
ds005815	0	0
ds005075	0	0
ds001246	0	0
ds004957	0	0
ds003481	0	0
ds003764	0	0
ds002733	0	0
ds006890	0	0
ds003900	0	0
ds004441	0	0
ds005880	0	0
ds001563	0	0
ds002087	0	0
ds005083	0	0
ds000237	0	0
ds006943	0	0
ds005978	0	0
ds006826	0	0
ds003078	0	0
ds003439	0	0
ds001302	0	0
ds003599	0	0
ds002237	0	0
ds004065	0	0
ds006319	0	0
ds006598	0	0
ds001218	0	0
ds005203	0	0
ds003590	0	0
ds003682	0	0
ds004127	0	0
ds005273	0	0
ds004009	0	0
