participant_id	family_id	twin_id	zygosity	sex	age
sub-P213793	64001	MZ6400111	MZ	M	50
sub-P165625	65992	DZ6599210	DZ	F	33
sub-P648124	34099	OS3409921	OS	M	34
sub-P542082	37344	MZ3734410	MZ	F	36
sub-P707328	37344	MZ3734420	MZ	F	36
sub-P811768	58395	MZ5839510	MZ	F	35
sub-P984418	58395	MZ5839520	MZ	F	35
sub-P175672	33687	OS3368721	OS	M	37
sub-P668090	82984	MZ8298411	MZ	M	36
sub-P685577	34967	MZ3496720	MZ	F	40
sub-P588861	27554	MZ2755410	MZ	F	38
sub-P601630	27554	MZ2755420	MZ	F	38
sub-P881699	82984	MZ8298421	MZ	M	36
sub-P506810	26766	OS2676620	OS	F	41
sub-P581478	33687	OS3368710	OS	F	37
sub-P721867	71968	MZ7196821	MZ	M	34
sub-P180545	16986	MZ1698611	MZ	M	37
sub-P488732	12772	OS1277211	OS	M	33
sub-P191920	35945	MZ3594520	MZ	F	33
sub-P224028	47251	DZ4725110	DZ	F	33
sub-P288735	79028	OS7902821	OS	M	32
sub-P294973	47251	DZ4725120	DZ	F	33
sub-P564620	35945	MZ3594510	MZ	F	33
